candidate_id,read_label,window_start,window_end,proposed_role,records_parsed,unique_barcode_count,top_barcode_frequency,top_barcode_fraction,barcode_duplication_rate,umi_unique_count,barcode_umi_pair_count,n_rate,lane_unique_count_cv,top100_cross_lane_jaccard_mean,top_sequences_hashed,read_pair_header_mismatches,interpretation,notes
CAND_R1_BC_1_8,R1,1,8,candidate_barcode_like,400000,58904,1446,0.003615,0.85274,369007,388292,3.44e-06,0.05694124,0.09832417,11032a0bdbed:1446;0a1f868858e1:712;9997f4101937:633;c08598945e56:186;cdaae9660038:183;52aa42e926fd:122;f39e635fea49:121;24805202cfe3:107;6c73948166b8:95;2a4e6f836ece:92,0,weak_or_unstable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
CAND_R1_BC_1_10,R1,1,10,candidate_barcode_like,400000,293031,1396,0.00349,0.2674225,369007,388667,3e-06,0.0067801,0.21800697,d70650de5591:1396;e3fa6bda3378:573;010ed41e1323:540;c71613a7386f:176;e7da300634e5:165;f7778b1fadf7:114;474d569a560b:103;9c437e6dc0cd:95;886d39564292:89;87b1bb3faa91:84,0,weak_or_unstable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
CAND_R1_ALT_8_18,R1,8,18,candidate_barcode_or_umi_like,400000,357368,1448,0.00362,0.10658,369007,378683,5e-06,0.00202704,0.60938005,e9f2e257099e:1448;5f7b8fda3008:1353;a2747afd914f:1116;153d81291120:789;111fdbf97455:710;be126c316ddc:684;004537f3b1fd:458;0ae571d863b0:337;f01cde7f2960:291;2b3993eb4dfc:260,0,stable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
CAND_R1_ALT_10_20,R1,10,20,candidate_barcode_or_umi_like,400000,355266,2616,0.00654,0.111835,369007,376085,6.36e-06,0.00273432,0.53885067,e9f2e257099e:2616;a2747afd914f:1437;2a12de8acd37:1322;aeaa8f612080:1114;111fdbf97455:787;6182573f456f:731;153d81291120:706;3e06be02ef0d:705;004537f3b1fd:486;0ae571d863b0:354,0,stable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
CAND_R1_UMI_15_30,R1,15,30,candidate_umi_like_stress_test,400000,369007,2566,0.006415,0.0774825,369007,0,1.25e-05,0.00354639,0.5642673,23b4ebd1e1e9:2566;e817e34c8d04:1385;2cf0d2a00c6c:1057;9ab618c83981:1031;1203563ef359:778;42b6e5d1e314:750;a04384e65a13:691;17b47803094e:688;0ca1b9387206:677;574efd54e288:672,0,stable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
CAND_R2_ALT_1_20,R2,1,20,candidate_r2_structure_control,400000,255754,5771,0.0144275,0.360615,369007,396616,3.65e-05,0.01784991,0.72251115,387d6ddb4c54:5771;c900c79f4c07:3686;19df4a3b3c36:2979;74f06e20704c:2835;b242a87182cb:2178;c8b2ef3dd4c6:2130;da5bc4f13393:2106;5183aa47506a:1920;d8341bc89c4e:1769;11ac185570a2:1646,0,stable_extraction_candidate,Repo report hashes candidate sequences; raw sequences are scratch-only.
